0x400218,FINDMESS
0x400244,p_Asm_print
0x400474,p_Line
0x400674,PRREASON
0x40092e,PRLINK
0x400976,PRSTACK
0x400a36,PRSPACE
0x400a98,PRHEAP
0x400b0a,PRLOG
0x400ca6,INTHIST
0x400d98,TSKHIST
0x400e46,PRALL
0x40161e,p_walkback
0x40163e,sv_Line
0x40165e,SVLINK
0x40169e,SVSTACK
0x40171c,p_Save_Walkback
0x401748,p_Show_Walkback
0x4017ea,p_On_Crash
0x4017fc,p_user_PMA
0x40188c,p10_PMA_flag
0x40189e,p10_init_pma
0x4019aa,p_New_Task
0x401d6c,p_Task_id
0x401d7c,p_Task_Priority
0x401dac,p_Set_Priority
0x401e58,p_Stack_Space
0x401e92,p_Can_Recurse
0x401ed6,p_68040
0x401ee8,p_Cpu42
0x401efa,p_set_cache
0x401f3e,p_get_cache
0x401f50,p_push_dcache
0x401f9c,p_speed_convert
0x401fca,p_use_FPU
0x402032,p_free_FPU
0x4020ce,p_Environment
0x402188,p2_Init_Task
0x402344,p_Signal
0x4023ba,p_Wait
0x402462,p_Sig_Wait
0x402526,p_Sig2_Wait
0x402620,p_Timed_Wait
0x4026ea,p_Sig_Timed_Wait
0x4027d8,p_Sig2_Timed_Wait
0x4028fc,p_Sig_All
0x402982,p_Transfer
0x402a70,p_Check_Semaphore
0x402b32,p_Reset_Semaphore
0x402b7e,p_New_Semaphore
0x402bba,PUTINQ
0x402c08,p4_Add_Timer
0x402c30,p4_Rem_Timer
0x402c72,p4_Init_time
0x402c9c,p_More_Ticks
0x402e26,p_Cur_Ticks
0x402e38,p_Delay
0x402e98,p_Abs_Delay
0x402f02,p_Flag
0x402f48,p_Flagged
0x402f7e,p_Flag_After
0x402ff8,p_Dont_Flag
0x40324a,p_Inhibit
0x4032b6,p_Cond_inhibit
0x403302,p_Enable
0x403368,p_Set_interrupt
0x403524,p_int_setup
0x40354e,p_Int_logging
0x40359e,p_responds
0x4035f0,p5_inted
0x40360c,p5_Init_ints
0x4038ec,p_New
0x4039f2,p_Dispos
0x403aee,p_Heap_Data
0x403b7c,p_Full_Heap_Data
0x403c0e,p_Heap_lock
0x403c5e,p_heap_size
0x403c9c,p_heap_walkback
0x403cac,p_purge_proc
0x403d24,p6_Init_heap
0x403d88,p_heap_check
0x403e36,p_Push
0x403e98,p_Push_String
0x403f10,p_Pop
0x403f78,p_Link
0x403fac,p_Unlink
0x404010,p_Analyze_Frame
0x40403c,p_Read_Stack
0x4040bc,p_Rd_String
0x404146,p_Frame_size
0x40418a,p_Aux_frames
0x404224,p_Logging
0x40434e,p_Assert
0x404378,p_Init_log
0x4043f4,init_chan
0x40449c,p_Chan_Create
0x404506,p_chan_attach
0x404550,p_Chan_Driver
0x404592,WRSTR
0x40460e,p_wts_o
0x404632,p_wts
0x404656,writestring
0x4046d8,p_wtc_o
0x4046f8,p_wtc
0x404718,writechar
0x40476a,p_wtln_o
0x404786,p_wtln
0x4047a2,p_break
0x4047be,writeline
0x4048c2,ENDOFLINE
0x40493e,FILLBUFF
0x404a34,p_rdc_i
0x404a50,p_rdc
0x404a6c,readchar
0x404ae2,p_rds_i
0x404b02,p_rds
0x404b22,readarr
0x404bbe,p_rdxs_i
0x404bde,p_rdxs
0x404bfe,readstring
0x404c8e,p_rdln_i
0x404ca6,p_rdln
0x404cbe,readline
0x404d34,IOERROR
0x404e1a,p_put
0x404f2a,p_get
0x405052,p_close
0x4051a4,NULLDRV
0x4051be,p_define
0x4051f0,p_ClsRng
0x405232,p8_Set_io
0x4052d0,p8_Err_io
0x405372,p_Prefix
0x4053a4,p_Get_previous
0x4053de,p_forget_last
0x40540c,p_Preload
0x405442,p_Insert_last
0x405478,p_physical_io
0x4054ae,STXMIT
0x4054fa,p9_char_arr
0x405686,p_In_char
0x40569e,SAVECUR
0x405718,GETCUR
0x40576c,FINDREC
0x4057b2,Get_line
0x4060c2,Put_line
0x406180,break_line
0x4061ee,p9_open_console
