0x400218 FINDMESS
0x400244 p_Asm_print
0x400474 p_Line
0x400674 PRREASON
0x40092e PRLINK
0x400976 PRSTACK
0x400a38 PRSPACE
0x400a9a PRHEAP
0x400b0c PRLOG
0x400ca8 INTHIST
0x400d9a TSKHIST
0x400e48 PRALL
0x401620 p_walkback
0x401640 sv_Line
0x401660 SVLINK
0x4016a0 SVSTACK
0x40171e p_Save_Walkback
0x40174a p_Show_Walkback
0x4017ec p_On_Crash
0x4017fe p_user_PMA
0x40188e p10_PMA_flag
0x4018a0 p10_init_pma
0x4019b4 p_New_Task
0x401d76 p_Task_id
0x401d86 p_Task_Priority
0x401db6 p_Set_Priority
0x401e62 p_Stack_Space
0x401e9c p_Can_Recurse
0x401ee0 p_68040
0x401ef2 p_Cpu42
0x401f04 p_set_cache
0x401f48 p_get_cache
0x401f5a p_push_dcache
0x401fa6 p_speed_convert
0x401fd4 p_use_FPU
0x40203c p_free_FPU
0x4020d8 p_Environment
0x402192 p2_Init_Task
0x40234e p_Signal
0x4023c4 p_Wait
0x40246c p_Sig_Wait
0x402530 p_Sig2_Wait
0x40262a p_Timed_Wait
0x4026f4 p_Sig_Timed_Wait
0x4027e2 p_Sig2_Timed_Wait
0x402906 p_Sig_All
0x40298c p_Transfer
0x402a7a p_Check_Semaphore
0x402b3c p_Reset_Semaphore
0x402b88 p_New_Semaphore
0x402bc4 PUTINQ
0x402c12 p4_Add_Timer
0x402c3a p4_Rem_Timer
0x402c7c p4_Init_time
0x402ca6 p_More_Ticks
0x402e30 p_Cur_Ticks
0x402e42 p_Delay
0x402ea2 p_Abs_Delay
0x402f0c p_Flag
0x402f52 p_Flagged
0x402f88 p_Flag_After
0x403002 p_Dont_Flag
0x4033f0 p_Inhibit
0x40345c p_Cond_inhibit
0x4034a8 p_Enable
0x40350e p_Set_interrupt
0x4036ca p_int_setup
0x4036f4 p_Int_logging
0x403744 p_responds
0x403796 p5_inted
0x4037b2 p5_Init_ints
0x403a92 p_New
0x403b98 p_Dispos
0x403c94 p_Heap_Data
0x403d22 p_Full_Heap_Data
0x403db4 p_Heap_lock
0x403e04 p_heap_size
0x403e42 p_heap_walkback
0x403e52 p_purge_proc
0x403eca p6_Init_heap
0x403f38 p_heap_check
0x404012 p_Push
0x404074 p_Push_String
0x4040ec p_Pop
0x404154 p_Link
0x404188 p_Unlink
0x4041ec p_Analyze_Frame
0x404218 p_Read_Stack
0x404298 p_Rd_String
0x404322 p_Frame_size
0x404366 p_Aux_frames
0x404400 p_Logging
0x40452a p_Assert
0x404554 p_Init_log
0x4045d0 init_chan
0x404678 p_Chan_Create
0x4046e2 p_chan_attach
0x40472c p_Chan_Driver
0x40476e WRSTR
0x4047ea p_wts_o
0x40480e p_wts
0x404832 writestring
0x4048b4 p_wtc_o
0x4048d4 p_wtc
0x4048f4 writechar
0x404946 p_wtln_o
0x404962 p_wtln
0x40497e p_break
0x40499a p_break_o
0x4049b6 writeline
0x404aba ENDOFLINE
0x404b36 FILLBUFF
0x404c2c p_rdc_i
0x404c48 p_rdc
0x404c64 readchar
0x404cda p_rds_i
0x404cfa p_rds
0x404d1a readarr
0x404db6 p_rdxs_i
0x404dd6 p_rdxs
0x404df6 readstring
0x404e86 p_rdln_i
0x404e9e p_rdln
0x404eb6 readline
0x404f2c IOERROR
0x405012 p_put
0x405122 p_get
0x40524a p_close
0x40539c NULLDRV
0x4053b6 p_define
0x4053e8 p_ClsRng
0x40542a p8_Set_io
0x4054c8 p8_Err_io
0x40556a p_Prefix
0x40559c p_Get_previous
0x4055d6 p_forget_last
0x405604 p_Preload
0x40563a p_Insert_last
0x405670 p_physical_io
0x4056a6 STXMIT
0x4056f2 p9_char_arr
0x40587e p_In_char
0x405896 SAVECUR
0x405910 GETCUR
0x405964 FINDREC
0x4059aa Get_line
0x4062ba Put_line
0x406378 break_line
0x4063e6 p9_open_console
0x406434 p9_err_open
0x4064e4 close_console
0x40651c Prefix
